narwhal_id	time_start	time_end	duration	dive_phase	meets_criteria	notes
asgeir	2018-08-24 22:12:16.3	2018-08-24 22:12:29.3	0:00:13	descent	N	i feel pretty good about this one
asgeir	2018-08-24 22:12:52.8	2018-08-24 22:13:08.2	0:00:15	descent	N	
asgeir	2018-08-24 22:14:13.2	2018-08-24 22:14:18.8	0:00:06	bottom	N	i feel pretty good about this one
asgeir	2018-08-24 22:14:22.5	2018-08-24 22:14:32.1	0:00:10	bottom	N	i feel pretty good about this one
asgeir	2018-08-24 22:15:03.9	2018-08-24 22:15:13.9	0:00:10	bottom	N	i feel pretty good about this one
asgeir	2018-08-24 22:17:07.1	2018-08-24 22:17:13.0	0:00:06	bottom	N	
asgeir	2018-08-24 22:17:38.0	2018-08-24 22:17:44.8	0:00:07	bottom	N	
asgeir	2018-08-24 22:18:29.4	2018-08-24 22:18:38.7	0:00:09	bottom	N	i feel pretty good about this one
asgeir	2018-08-24 22:34:11.5	2018-08-24 22:34:19.7	0:00:08	bottom	N	
asgeir	2018-08-24 22:34:45.3	2018-08-24 22:34:49.5	0:00:04	bottom	N	
asgeir	2018-08-24 22:38:02.4	2018-08-24 22:38:19.4	0:00:17	bottom	N	
asgeir	2018-08-24 22:45:18.3	2018-08-24 22:45:32.7	0:00:14	ascent	N	i feel pretty good about this one
asgeir	2018-08-24 22:52:00.7	2018-08-24 22:52:06.7	0:00:06	subsurface	N	
asgeir	2018-08-27 21:14:17.0	2018-08-27 21:14:45.4	0:00:28	bottom	Y	
asgeir	2018-08-27 21:13:39.1	2018-08-27 21:13:49.8	0:00:11	bottom	Y	
asgeir	2018-08-27 21:11:22.4	2018-08-27 21:11:39.4	0:00:17	bottom	Y	
asgeir	2018-08-27 21:11:06.5	2018-08-27 21:11:18.5	0:00:12	bottom	Y	
asgeir	2018-08-27 21:10:24.4	2018-08-27 21:10:45.0	0:00:21	bottom	Y	
asgeir	2018-08-27 21:09:00.6	2018-08-27 21:09:07.5	0:00:07	bottom	Y	
asgeir	2018-08-27 21:05:59.9	2018-08-27 21:07:28.5	0:01:29	descent	N	long gliding descent
asgeir	2018-08-27 20:51:14.3	2018-08-27 20:51:54.4	0:00:40	bottom	Y	
asgeir	2018-08-27 20:51:54.8	2018-08-27 20:51:59.5	0:00:05	bottom	Y	
asgeir	2018-08-27 20:51:17.2	2018-08-27 20:51:32.9	0:00:16	bottom	Y	
asgeir	2018-08-27 20:48:57.4	2018-08-27 20:49:09.1	0:00:12	bottom	Y	
asgeir	2018-08-27 20:48:17.2	2018-08-27 20:48:34.0	0:00:17	bottom	Y	
asgeir	2018-08-27 20:46:28.0	2018-08-27 20:46:59.2	0:00:31	descent	N	
asgeir	2018-08-27 20:45:55.3	2018-08-27 20:46:08.0	0:00:13	descent	N	
asgeir	2018-08-27 19:42:42.1	2018-08-27 19:42:49.2	0:00:07	bottom	N	
asgeir	2018-08-27 19:42:03.6	2018-08-27 19:42:14.9	0:00:11	bottom	N	
asgeir	2018-08-27 19:40:24.9	2018-08-27 19:40:34.9	0:00:10	bottom	N	
asgeir	2018-08-27 19:39:23.7	2018-08-27 19:39:30.0	0:00:06	bottom	N	
asgeir	2018-08-27 19:37:15.4	2018-08-27 19:37:59.4	0:00:44	descent	N	
